This is the data file for OSRIC™.  This consists of creatures and treasure from the core rulebook.
You can use this with some of the tools here that allow for data files to be input. You may only want to use 
this file if you want to customize your creations. You may have no electrum in your land or maybe you want to 
remove the chance of dinosaurs from appearing. You may want to add custom monsters and items. Anything is possible.

This is published under the Open Game License Version 1.0a (which can be found at http://www.wizardawn.com/rpg/lic_ogl.html)
and is in compliance with the OSRIC™ Open License (which can be found at http://www.wizardawn.com/rpg/lic_osric.html).

"OSRIC", "Osric" and "O.S.R.I.C." are trademarks of Matthew Finch and Stuart Marshall

Below are the codes used for the creatures' terrain types...

DG = Dungeon
PF = Forest
PH = Hills
PM = Mountains
PP = Plains
PS = Swamp
PD = Desert
FW = Freshwater
SW = Sea
CF = Snowy Forest
CH = Snowy Hills
CM = Snowy Mountains
CP = Snowy Plains
TF = Jungle/Tropics Forest
TH = Jungle/Tropics Hills
TM = Jungle/Tropics Mountains
TS = Jungle/Tropics Swamp

--BEGIN--
ACHAIERAI	PFXPHXPMXPSXTFXTHXTMXTS	14	1	Freq: Very Rare; #ENC: 1d8; SIZE: Large (16 ft tall); MOVE: 180 ft; AC: 8 or -1 (see page); HD: 40 hp (body), 15 hp (each leg); ATK: 3; DMG: 1d8/1d8/1d10; SA: None; SD: Poison cloud; MR: 35%; LAIR: None; INT: Average; AL: CE; XP: 2,750; TRS: 1d10x1,000 cp (5%), 1d12x1,000 sp (25%), 1d6x1,000 ep (25%), 1d8x1,000 gp (25%), 1d12 gems (15%), 1d8 jewelry (10%) and 3 magic items and 1 scroll (25%).; BOOK: OSRIC-259
NIGHT HAG	CMXDGXPMXPSXTMXTS	9	1	Freq: Very Rare; #ENC: 1d2; SIZE: Medium; MOVE: 90 ft; AC: 10; HD: 8; ATK: 1; DMG: 2d6; SA: See Page; SD: See Page; MR: 65%; LAIR: None; INT: Exceptional; AL: NE; XP: 1,850+10/hp; TRS: A periapt that gives the possessor +2 on all saving throws, and cures diseases the possessor contracts. With each use by a good creature, the periapt decays; after ten uses, it vanishes.; BOOK: OSRIC-287
NIGHTMARE	CMXDGXPMXTM	8	1	Freq: Very Rare; #ENC: 1; SIZE: Large; MOVE: 150 ft, 360 ft flying (AA: level IV); AC: -4; HD: 6+6; ATK: 3; DMG: 1d6+4/1d6+4/2d4; SA: Burning hooves; SD: Noxious smoke; MR: Standard; LAIR: 50%; INT: Very; AL: NE; XP: 525+8/hp; TRS: None; BOOK: OSRIC-288
NILBOG	CMXDGXPMXTM	0	1	Freq: Very Rare; #ENC: 4d10; SIZE: Small (4 ft tall); MOVE: 60 ft; AC: 6; HD: 1-1 hp; ATK: 1; DMG: 1d6 or by weapon; SA: None; SD: See Page; MR: Standard; LAIR: 35%; INT: Average; AL: LE; XP: 55+1/hp; TRS: 1d10x1,000 cp (25%), 2d4x1,000 sp (33%), 1d6x1,000 ep (15%), 2d4 gems (30%), 2d4 jewelry (25%), 2 magic scrolls + 1 potion (25%).; BOOK: OSRIC-288
NIXIE	FWXSW	0	3	Freq: Rare; #ENC: 10d10; SIZE: Small (4 ft tall); MOVE: 60 ft, swimming 120 ft; AC: 7; HD: 1d4 hp; ATK: 1; DMG: By weapon type; SA: Charm; SD: None; MR: 25%; LAIR: 95%; INT: Very; AL: N; XP: 35+1/hp; TRS: Carried: magic dagger or javelin, 10%. Lair: 1d10x1,000 cp (25%), 1d6x1,000 sp (25%), 1d6x1,000 ep (15%), 1d2x1,000 gp (5%), 4d6 gems (45%), 2d4 jewelry (30%), 2 random scrolls (10%).; BOOK: OSRIC-235
NOTHOSAURUS	FWXSW	11	5	Freq: Uncommon; #ENC: 1d4; SIZE: Large; MOVE: 90 ft swimming; AC: 5; HD: 10; ATK: 1; DMG: 3d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,000+12/hp; TRS: None; BOOK: OSRIC-230
NYMPH	CFXCHXCMXFWXPFXPHXPMXSWXTFXTH	4	1	Freq: Very Rare; #ENC: 1d4; SIZE: Medium; MOVE: 120 ft; AC: 9; HD: 3; ATK: 1; DMG: 1d2 or by weapon; SA: See Page; SD: See Page; MR: 50%; LAIR: 95%; INT: Exceptional; AL: N; XP: 105+3/hp; TRS: 4d10 gems, 1d3 potions (75%).; BOOK: OSRIC-236
OCTOPUS	FWXSW	9	3	Freq: Rare; #ENC: 1; SIZE: Large; MOVE: 180 ft swimming; AC: 7; HD: 8; ATK: 7; DMG: 1d4+1(x7)/4d4; SA: Constriction; SD: See Page; MR: Standard; LAIR: 40%; INT: Non-; AL: N; XP: 500+10/hp; TRS: None; BOOK: OSRIC-255
OGRE	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	6	13	Freq: Common; #ENC: 2d10; SIZE: Large (9 ft + tall); MOVE: 90 ft; AC: 5; HD: 4+1; ATK: 1; DMG: 1d10 or by weapon; SA: None; SD: None; MR: Standard; LAIR: 20%; INT: Low; AL: CE; XP: 95+5/hp; TRS: Individual: 20d4 gp; Lair: 1d3x1,000 gp (30%), 5d8 gems (40%), 2 magic items (10%), 2d4 potions (40%).; BOOK: OSRIC-205
OGRE MAGE	CMXDGXPMXTMXTS	7	3	Freq: Rare; #ENC: 1d6; SIZE: Large (9 ft + tall); MOVE: 90 ft, 150 ft flying (AA: level III); AC: 4; HD: 5+2; ATK: 1; DMG: 1d12 or by weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 25%; INT: Average to high; AL: CE; XP: 750+6/hp; TRS: 2d10x1,000 gp (50%), 1d10x1,000 pp (50%), 3d6 gems (25%), 1d6 jewelry (25%), 1d6 potions (100%) and 1d6 magic items (25%).; BOOK: OSRIC-205
ORC	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTMXTS	2	13	Freq: Common; #ENC: 30d10; SIZE: Medium (6 ft tall); MOVE: 90 ft; AC: 6; HD: 1; ATK: 1; DMG: 1d8 or by weapon; SA: None; SD: None; MR: Standard; LAIR: 35%; INT: Average (low); AL: LE; XP: 10+1/hp; TRS: Individual 2d6 ep ; Lair 1d12x1,000 cp (50%), 1d6x1,000 sp (40%), 1d6 gems (25%), 1d3 jewelry (20%), 2d4 potions (40%).; BOOK: OSRIC-200
ORNITHOLESTES	TH	4	13	Freq: Common; #ENC: 5d4; SIZE: Medium; MOVE: 120 ft; AC: 7; HD: 2+3; ATK: 1; DMG: 1d8; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 25+2/hp; TRS: None; BOOK: OSRIC-230
OTYUGH, GREATER	CMXDGXPMXTM	12	3	Freq: Rare; #ENC: 1; SIZE: Large; MOVE: 60 ft; AC: 0; HD: 9 to 12; ATK: 3; DMG: 1d12/1d12/1d4+1; SA: Grab, disease; SD: Never surprised; MR: Standard; LAIR: 75%; INT: Average; AL: N; XP: 1,000+12/hp (9 HD), 1,500+14/hp (10 HD), 1,500+14/hp (11 HD), 2,000+16/hp (12 HD); TRS: Otyughs possess little in the way of treasure; what meagre sums might be found in their lairs are either the remains of previous victims or have been accidentally discarded.; BOOK: OSRIC-289
OTYUGH, LESSER	CMXDGXPMXTM	8	5	Freq: Uncommon; #ENC: 1d2; SIZE: Medium; MOVE: 60 ft; AC: 3; HD: 6 to 8; ATK: 3; DMG: 1d8/1d8/1d4+1; SA: Grab, disease; SD: Never surprised; MR: Standard; LAIR: 75%; INT: Low; AL: N; XP: 275+6/hp (6 HD), 400+8/hp (7 HD), 650+10/hp (8 HD); TRS: Otyughs possess little in the way of treasure; what meagre sums might be found in their lairs are either the remains of previous victims or have been accidentally discarded.; BOOK: OSRIC-289
OWLBEAR	DGXPFXPMXPS	7	3	Freq: Rare; #ENC: 1d4+1; SIZE: Large (8 ft tall); MOVE: 120 ft; AC: 5; HD: 5+2; ATK: 3; DMG: 1d6/1d6/1d4; SA: Hug; SD: None; MR: Standard; LAIR: 30%; INT: Low; AL: N; XP: 225+8/hp; TRS: 1d12x1,000 cp, 1d6x1,000 sp, 1d6 gems (25%), 1d3 pieces of jewelry (20%).; BOOK: OSRIC-288
PEGASUS	CFXCMXFWXPDXPFXPHXPMXSWXTFXTHXTM	5	1	Freq: Very Rare; #ENC: 1d10; SIZE: Large; MOVE: 240 ft, 480 ft flying (AA: level IV); AC: 6; HD: 4; ATK: 3; DMG: 1d8/1d8/1d3; SA: None; SD: None; MR: Standard; LAIR: 15%; INT: Average; AL: CG; XP: 75+3/hp; TRS: None; BOOK: OSRIC-289
PENTACERATOPS	TMXTHXTFXTS	13	5	Freq: Uncommon; #ENC: 10d100; SIZE: Large; MOVE: 120 ft; AC: 3/7; HD: 12; ATK: 1; DMG: 2d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 1,000+18/hp; TRS: None; BOOK: OSRIC-229
PHANTOM	DGXPSXTS	0	1	Freq: Very Rare; #ENC: 1; SIZE: Medium; MOVE: 90 ft; AC: None; HD: None; ATK: None; DMG: None; SA: Fear; SD: None; MR: See Page; LAIR: None; INT: None; AL: Any; XP: None; TRS: None; BOOK: OSRIC-290
PHOENIX	CFXCPXPFXPPXTF	21	1	Freq: Very Rare; #ENC: 1; SIZE: Medium; MOVE: 60 ft, 400 ft flying (AA: III); AC: -3; HD: 20; ATK: 1 or 2; DMG: 1d12 or 1d8/1d8; SA: See Page; SD: See Page; MR: 50%; LAIR: None; INT: Genius; AL: NG; XP: 8,000+30/hp; TRS: None; BOOK: OSRIC-290
PIERCER	DG	4	5	Freq: Uncommon; #ENC: 3d6; SIZE: Small to medium; MOVE: 10 ft; AC: 3; HD: 1 to 4; ATK: 1; DMG: 1d6, 1d6, 3d6 or 4d6; SA: 95% surprise; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 10+1/hp, 30+2/hp, 50+3/hp or 80+4/hp; TRS: None; BOOK: OSRIC-291
PILGRIM	CFXCHXCMXCPXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	0	5	Freq: Uncommon; #ENC: 10d10; SIZE: Medium; MOVE: 120 ft; AC: By armor; HD: 1d6 hp; ATK: See Page; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: None; INT: Mean (very to high); AL: See Page; XP: Variable; TRS: Individual Pilgrims: 3d12 cp. Individual Fighters: 2d6 ep. Individual Clerics: 3d12 cp, 3d6 sp, and 2d4 gp. Individual Magic Users: 2d6 ep, 1d6 pp, and 1d4 gems (50%). Individual Thieves: 3d12 cp, 1d6 pp, and 1d4 gems (50%). There is also a chance (5%) that a holy item will be with the pilgrims. If so, it will be hidden and carefully guarded.; BOOK: OSRIC-192
PIT FIEND (GREATER DEVIL)	DG	14	3	Freq: Rare; #ENC: 1 or 1d3; SIZE: Large; MOVE: 60 ft, 150 ft flying (AA: level III); AC: -3; HD: 13; ATK: 1 scimitar/1 spiked club or tail; DMG: 1d8+6/1d6+7 or 2d4 constriction; SA: See Page; SD: +2 or better magic weapon to hit; MR: 65%; LAIR: 65%; INT: Exceptional; AL: LE; XP: 7,900+18/hp; TRS: If encountered in their nethermost lair, they are liable to have a hoard of 2d4x1,000 gp (40%), 10d6 pp (50%), 4d8 gems (55%), and 1d12 jewelry (45%). Individual pit fiends will typically carry only 3d8 copper pieces.; BOOK: OSRIC-226
PIXIE	CFXPFXTF	0	1	Freq: Very Rare; #ENC: 5d4; SIZE: Small; MOVE: 60 ft, flying 120 ft (AA: level V); AC: 5; HD: 1d4 hp; ATK: 1; DMG: By weapon; SA: See Page; SD: See Page; MR: 25%; LAIR: 5%; INT: Exceptional; AL: N; XP: 50+1/hp; TRS: 2d4x1,000 gp (40%), 1d6x1,000 pp (50%), 4d8 gems (55%), 1d12 jewelry (45%), 2d4 potions (40%), 1d4 scrolls (50%), 1 misc. magic (60%).; BOOK: OSRIC-236
PLATEOSAURUS	TMXTHXTFXTS	9	13	Freq: Common; #ENC: 5d4; SIZE: Large; MOVE: 120 ft; AC: 5; HD: 8; ATK: 1; DMG: 1d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 475+10/hp; TRS: None; BOOK: OSRIC-229
PLESIOSAURUS	FWXSW	21	13	Freq: Common; #ENC: 1d3; SIZE: Large; MOVE: 150 ft swimming; AC: 6; HD: 20; ATK: 1; DMG: 5d4; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 5,000+25/hp; TRS: None; BOOK: OSRIC-230
POLTERGEIST	CFXCMXPDXPS	0	3	Freq: Rare; #ENC: 1d8; SIZE: Medium; MOVE: 60 ft; AC: 10; HD: 1d4 hp; ATK: None; DMG: None; SA: Fear, telekinesis; SD: Invisible, silver/magic weapons to hit.; MR: Standard; LAIR: 97%; INT: Low; AL: LE; XP: 35+1/hp; TRS: None; BOOK: OSRIC-242
PORTUGUESE MAN O` WAR, GIANT	SW	4	5	Freq: Uncommon; #ENC: 1d10; SIZE: Variable; MOVE: 10 ft swimming; AC: 9; HD: 1 to 4; ATK: 1; DMG: 1d10; SA: Paralyzation; SD: Transparent; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 45+1/hp(HD 1)...80+2/hp(HD 2)...110+3/hp(HD 3)...150+4/hp(HD 4); TRS: None; BOOK: OSRIC-254
PSEUDO-DRAGON	PFXPHXPM	3	1	Freq: Very Rare; #ENC: 1; SIZE: Small (18 in); MOVE: 60 ft, 240 ft flying (AA: level V); AC: 2; HD: 2; ATK: 1; DMG: 1d3; SA: Poison sting; SD: Chameleon power; MR: 35%; LAIR: 5%; INT: Average; AL: NG; XP: 200+2/hp; TRS: 50% chance 1d4 gems (lair: 50% chance of 10d4 gems).; BOOK: OSRIC-291
PTERANODON	TMXTHXTFXTS	5	13	Freq: Common; #ENC: 2d10; SIZE: Large; MOVE: 240 ft flying, (AA: lvl IV); AC: 7; HD: 4; ATK: 1; DMG: 1d8; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 75+4/hp; TRS: None; BOOK: OSRIC-231
PTERODACTYL	TFXTHXTMXTS	3	13	Freq: Common; #ENC: 3d12; SIZE: Small; MOVE: 240 ft flying, (AA: lvl IV); AC: 8; HD: 1+2; ATK: 1; DMG: 1d6; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 15+1/hp; TRS: None; BOOK: OSRIC-231
PURPLE WORM	CHXCPXDGXPDXPHXPPXTH	16	3	Freq: Rare; #ENC: 1d2; SIZE: Large; MOVE: 90 ft; AC: 6; HD: 15; ATK: 1 (+1, see page); DMG: 2d12/2d4; SA: See Page; SD: None; MR: Standard; LAIR: 30%; INT: Non-; AL: N; XP: 5,000+20/hp; TRS: 1d8x1,000 cp (50%), 1d6x1,000 sp (25%), 1d4x1,000 ep (25%), 1d4x1,000 gp (25%), 1d20 gems (50%), 1d4 jewelry (20%), sword, armour, or misc. weapon (10%).; BOOK: OSRIC-291
QUASIT	DG	4	1	Freq: Very Rare; #ENC: 1; SIZE: Small; MOVE: 150 ft; AC: 2; HD: 3; ATK: 2 claws/1 bite; DMG: 1d2/1d2/1d4; SA: See Page; SD: See Page; MR: 25%; LAIR: None; INT: Low; AL: CE; XP: 325+3/hp; TRS: None; BOOK: OSRIC-218
QUETZALCOATLUS	TMXTHXTFXTS	8	3	Freq: Rare; #ENC: 1d2; SIZE: Large; MOVE: 180 ft flying, (AA: lvl IV); AC: 6; HD: 7; ATK: 1; DMG: 2d8; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 400+6/hp; TRS: None; BOOK: OSRIC-231
QUICKLING	CFXDGXPFXPSXTFXTS	3	1	Freq: Very Rare; #ENC: 4d4; SIZE: Small; MOVE: 1,000 ft; AC: -3; HD: 2d6 hp; ATK: 3; DMG: 1d4/1d4/1d4; SA: See Page; SD: See Page; MR: See Page; LAIR: 10%; INT: High to genius; AL: CE; XP: 200+3/hp and higher; TRS: 2d4 gems (50%), one miscellaneous magic item plus two potions and a scroll (60%).; BOOK: OSRIC-237
RAKSHASA	DG	8	1	Freq: Very Rare; #ENC: 1d4; SIZE: Medium; MOVE: 150 ft; AC: -4; HD: 7; ATK: 3; DMG: 1d3/1d3/1d4+1; SA: See Page; SD: See Page; MR: See Page; LAIR: 25%; INT: Very; AL: LE; XP: 1,000+8/hp; TRS: 1d20x1,000 sp (10%), 1d12x1,000 ep (15%), 1d10x1,000 gp (40%), 1d8x100 pp (35%), 3d10 gems (20%), 1d10 jewelry (10%), 3 magic items except weapons + 1 potion + scroll (30%).; BOOK: OSRIC-292
RAT, GIANT	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	0	13	Freq: Common; #ENC: 5d10; SIZE: Small; MOVE: 120 ft; AC: 7; HD: 1d4 hp; ATK: 1; DMG: 1d3; SA: None; SD: 5% chance of causing a disease unless save vs poison.; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 7+1/hp; TRS: None; BOOK: OSRIC-254
RAT, HUGE	CFXCHXCMXCPXDGXPDXPFXPHXPMXPPXPSXTFXTHXTMXTS	0	13	Freq: Common; #ENC: 4d20; SIZE: Small; MOVE: 120 ft; AC: 8; HD: 1 hp; ATK: 1; DMG: 1; SA: None; SD: 5% chance of causing a disease unless save vs poison.; MR: Standard; LAIR: 10%; INT: Semi-; AL: N; XP: 5+1/hp; TRS: None; BOOK: OSRIC-254
REMORHAZ	CHXCMXCPXDGXPD	12	1	Freq: Very Rare; #ENC: 1; SIZE: Large (21 ft to 42 ft length); MOVE: 120 ft; AC: Body 0; head 2; underside 4; HD: 7 to 14; ATK: 1; DMG: 6d6; SA: See Page; SD: See Page; MR: 75%; LAIR: 20%; INT: Animal; AL: N; XP: HD7: 625+8/hp, HD8: 950+10/hp, HD9: 1,400+12/hp, HD10: 1,700+13/hp, HD11: 2,100+14/hp, HD12: 3,000+1; TRS: None; BOOK: OSRIC-292
RHAMPHORYNCHUS	TMXTHXTFXTS	4	5	Freq: Uncommon; #ENC: 2d12; SIZE: Large; MOVE: 210 ft flying, (AA: lvl IV); AC: 7; HD: 2+4; ATK: 1; DMG: 1d8; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 50+2/hp; TRS: None; BOOK: OSRIC-231
RHINOCEROS, COMMON	PDXPFXPHXPMXPPXPSXTHXTMXTS	9	13	Freq: Common; #ENC: 1d6; SIZE: Large; MOVE: 120 ft; AC: 6; HD: 8 or 9; ATK: 1; DMG: 2d4 or 2d6; SA: Charge; SD: None; MR: Standard; LAIR: None; INT: Amimal; AL: N; XP: 550+10/hp; TRS: None; BOOK: OSRIC-255
RHINOCEROS, WOOLLY	CFXCHXCMXCPXPDXPS	11	13	Freq: Common; #ENC: 1d4; SIZE: Large; MOVE: 120 ft; AC: 5; HD: 10; ATK: 1; DMG: 2d6; SA: Charge; SD: None; MR: Standard; LAIR: None; INT: Amimal; AL: N; XP: 900+12/hp; TRS: None; BOOK: OSRIC-255
ROC	TM	19	3	Freq: Rare; #ENC: 1d2; SIZE: Large (60 ft + wingspan); MOVE: 30 ft, 300 ft flying (AA: level II); AC: 4; HD: 18; ATK: 1 or 2; DMG: 4d6 or 3d6/3d6; SA: None; SD: None; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 3,010+25/hp; TRS: 1d12x1,000 cp (20%), 1d6x1,000 sp (30%), 1d4x1,000 ep (10%), 1d6 gems (25%), 1d33 jewelry (20%), 2 magic items (10%).; BOOK: OSRIC-292
ROPER	DG	12	3	Freq: Rare; #ENC: 1d4; SIZE: Large; MOVE: 30 ft; AC: 0; HD: 11; ATK: 1; DMG: 2d10+2; SA: See Page; SD: See Page; MR: 80%; LAIR: 93%; INT: Exceptional; AL: CE; XP: 2,700+16/hp; TRS: Ropers do not hoard treasure but their acidic bile cannot dissolve platinum or gemstones. Cutting open the gizzard of a roper has a 40% chance of yielding 3d6 (3-18) platinum pieces and 30% chance of 4d6 (4-24) gems.; BOOK: OSRIC-293
ROPER, QUARTZ	DG	7	3	Freq: Rare; #ENC: 1; SIZE: Medium (5 ft); MOVE: 10 ft; AC: 0; HD: 6; ATK: 1; DMG: 1d10; SA: See Page; SD: See Page; MR: Standard; LAIR: 93%; INT: High; AL: CE; XP: 525+6/hp; TRS: Ropers do not hoard treasure but their acidic bile cannot dissolve platinum or gemstones. Cutting open the gizzard of a roper has a 40% chance of yielding 3d6 (3-18) platinum pieces and 30% chance of 4d6 (4-24) gems.; BOOK: OSRIC-293
ROT GRUB	DG	0	3	Freq: Rare; #ENC: 5d4; SIZE: Small; MOVE: 10 ft; AC: 9; HD: 1 hp; ATK: 0; DMG: None; SA: See Page; SD: None; MR: Standard; LAIR: None; INT: Non-; AL: N; XP: 5+1/hp; TRS: None; BOOK: OSRIC-293
RUST MONSTER	DG	6	5	Freq: Uncommon; #ENC: 1d2; SIZE: Medium (5 ft long); MOVE: 180 ft; AC: 2; HD: 5; ATK: 2; DMG: None; SA: See Page; SD: None; MR: Standard; LAIR: 10%; INT: Animal; AL: N; XP: 185+4/hp; TRS: 1d4 gems per individual (50%).; BOOK: OSRIC-294
SAHUAGIN, BARON	SW	8	1	Freq: Very Rare; #ENC: 1; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 3; HD: 6+6; ATK: 1; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 100%; INT: High; AL: LE; XP: 300+8/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, FEMALE	SW	3	5	Freq: Uncommon; #ENC: 30d4; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 6; HD: 2; ATK: 1; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 100%; INT: High; AL: LE; XP: 20+2/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, GUARD	SW	5	5	Freq: Uncommon; #ENC: 3d6; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 5; HD: 3+3; ATK: 1; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 25%; INT: High; AL: LE; XP: 50+4/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, HATCHLING	SW	2	5	Freq: Uncommon; #ENC: 10d4; SIZE: Small; MOVE: 120 ft, 240 ft swimming; AC: 7; HD: 1; ATK: 1; DMG: 1d4; SA: See Page; SD: See Page; MR: Standard; LAIR: 100%; INT: High; AL: LE; XP: 10+1/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, KING	SW	12	1	Freq: Very Rare; #ENC: 1; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 1; HD: 10+10; ATK: 4; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 100%; INT: Exceptional; AL: LE; XP: 1,250+14/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, PRIESTESS	SW	5	1	Freq: Very Rare; #ENC: 1d4+1; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 5; HD: 2 to 6; ATK: 1; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 100%; INT: Exceptional; AL: LE; XP: Variable; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, PRINCE	SW	10	1	Freq: Very Rare; #ENC: 1; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 2; HD: 8+8; ATK: 2; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 100%; INT: High; AL: LE; XP: 500+12/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, WARCHIEF	SW	6	3	Freq: Rare; #ENC: 1; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 4; HD: 4+4; ATK: 1; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 25%; INT: High; AL: LE; XP: 100+5/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAHUAGIN, WARRIOR	SW	4	5	Freq: Uncommon; #ENC: 20d4; SIZE: Medium; MOVE: 120 ft, 240 ft swimming; AC: 5; HD: 2+2; ATK: 1; DMG: By weapon; SA: See Page; SD: See Page; MR: Standard; LAIR: 25%; INT: High; AL: LE; XP: 30+3/hp; TRS: Individuals :1d6 pp each; Lair: 2d6x1,000 gp (75%), 3d6x100 pp (50%), 3d8 gems (50%), 2d6 jewelry (50%), 1 miscellaneous magic and 1 potion (50%).; BOOK: OSRIC-294
SAUROLOPHUS	TMXTHXTFXTS	9	5	Freq: Uncommon; #ENC: 4d8; SIZE: Large; MOVE: 150 ft; AC: 7; HD: 8; ATK: 1; DMG: 1d8; SA: None; SD: None; MR: Standard; LAIR: None; INT: Animal; AL: N; XP: 500+10/hp; TRS: None; BOOK: OSRIC-228
SAUROPHAGANAX	TMXTHXTFXTS	17	5	Freq: Uncommon; #ENC: 1 or 2d8; SIZE: Large; MOVE: 150 ft; AC: 6; HD: 16; ATK: 1; DMG: 3d8; SA: None; SD: None; MR: Standard; LAIR: 15%; INT: Animal; AL: N; XP: 2,250+20/hp; TRS: None; BOOK: OSRIC-227
SCALY DEVIL, BLACK (LESSER DEVIL; ABYSSAI)	DG	9	13	Freq: Common; #ENC: 1d3 or 2d4; SIZE: Large; MOVE: 90 ft, 120 ft flying (AA: level IV); AC: 2; HD: 8; ATK: Halberd; DMG: 1d10+4; SA: See Page; SD: See Page; MR: 35%; LAIR: 20%; INT: Average; AL: LE; XP: 855+10/hp; TRS: If scaly devils are encountered in one of their hellish lairs they will have no treasure cache, but they may (10%) have another 1d4 other breeds of scaly devil with them. If encountered in transit however, they may (15%) have 1d4 large gems, which they are delivering to one of their devil masters.; BOOK: OSRIC-225
SCALY DEVIL, BLUE (LESSER DEVIL; ABYSSAI)	DG	7	13	Freq: Common; #ENC: 1d4 or 2d4; SIZE: Medium; MOVE: 150 ft, 150 ft flying (AA: level IV); AC: 3; HD: 5+1; ATK: Trident; DMG: 1d6+4; SA: See Page; SD: See Page; MR: 20%; LAIR: 35%; INT: Average; AL: LE; XP: 550+6/hp; TRS: If scaly devils are encountered in one of their hellish lairs they will have no treasure cache, but they may (10%) have another 1d4 other breeds of scaly devil with them. If encountered in transit however, they may (15%) have 1d4 large gems, which they are delivering to one of their devil masters.; BOOK: OSRIC-225
